Epoch 006/020 | Batch 02417/02417 | LR 0.000659082 | Loss 0.0435 | Acc 0.9862
Epoch 006 done in 15.0 min | Val Loss 0.0500 | Val Acc 0.9842 | Saved checkpoints_infinity/infinity_epoch_006.npz
Epoch 007/020 | Batch 00100/02417 | LR 0.000606355 | Loss 0.0383 | Acc 0.9879
Epoch 007/020 | Batch 00200/02417 | LR 0.000606355 | Loss 0.0386 | Acc 0.9878
Epoch 007/020 | Batch 00300/02417 | LR 0.000606355 | Loss 0.0385 | Acc 0.9878
Epoch 007/020 | Batch 00400/02417 | LR 0.000606355 | Loss 0.0386 | Acc 0.9877
Epoch 007/020 | Batch 00500/02417 | LR 0.000606355 | Loss 0.0388 | Acc 0.9877
Epoch 007/020 | Batch 00600/02417 | LR 0.000606355 | Loss 0.0389 | Acc 0.9876
Epoch 007/020 | Batch 00700/02417 | LR 0.000606355 | Loss 0.0390 | Acc 0.9876
Epoch 007/020 | Batch 00800/02417 | LR 0.000606355 | Loss 0.0392 | Acc 0.9875
Epoch 007/020 | Batch 00900/02417 | LR 0.000606355 | Loss 0.0392 | Acc 0.9875
Epoch 007/020 | Batch 01000/02417 | LR 0.000606355 | Loss 0.0393 | Acc 0.9874
Epoch 007/020 | Batch 01100/02417 | LR 0.000606355 | Loss 0.0394 | Acc 0.9874
Epoch 007/020 | Batch 01200/02417 | LR 0.000606355 | Loss 0.0394 | Acc 0.9874
Epoch 007/020 | Batch 01300/02417 | LR 0.000606355 | Loss 0.0395 | Acc 0.9874
Epoch 007/020 | Batch 01400/02417 | LR 0.000606355 | Loss 0.0396 | Acc 0.9874
Epoch 007/020 | Batch 01500/02417 | LR 0.000606355 | Loss 0.0397 | Acc 0.9873
Epoch 007/020 | Batch 01600/02417 | LR 0.000606355 | Loss 0.0398 | Acc 0.9873
Epoch 007/020 | Batch 01700/02417 | LR 0.000606355 | Loss 0.0399 | Acc 0.9873
Epoch 007/020 | Batch 01800/02417 | LR 0.000606355 | Loss 0.0399 | Acc 0.9873
Epoch 007/020 | Batch 01900/02417 | LR 0.000606355 | Loss 0.0400 | Acc 0.9873
Epoch 007/020 | Batch 02000/02417 | LR 0.000606355 | Loss 0.0401 | Acc 0.9872
Epoch 007/020 | Batch 02100/02417 | LR 0.000606355 | Loss 0.0401 | Acc 0.9872
Epoch 007/020 | Batch 02200/02417 | LR 0.000606355 | Loss 0.0402 | Acc 0.9872
Epoch 007/020 | Batch 02300/02417 | LR 0.000606355 | Loss 0.0402 | Acc 0.9872
Epoch 007/020 | Batch 02400/02417 | LR 0.000606355 | Loss 0.0402 | Acc 0.9872
Epoch 007/020 | Batch 02417/02417 | LR 0.000606355 | Loss 0.0403 | Acc 0.9872
Epoch 007 done in 16.2 min | Val Loss 0.0474 | Val Acc 0.9857 | Saved checkpoints_infinity/infinity_epoch_007.npz
Epoch 008/020 | Batch 00100/02417 | LR 0.000557847 | Loss 0.0354 | Acc 0.9888
Epoch 008/020 | Batch 00200/02417 | LR 0.000557847 | Loss 0.0358 | Acc 0.9886
Epoch 008/020 | Batch 00300/02417 | LR 0.000557847 | Loss 0.0362 | Acc 0.9884
Epoch 008/020 | Batch 00400/02417 | LR 0.000557847 | Loss 0.0361 | Acc 0.9885
Epoch 008/020 | Batch 00500/02417 | LR 0.000557847 | Loss 0.0361 | Acc 0.9885
Epoch 008/020 | Batch 00600/02417 | LR 0.000557847 | Loss 0.0361 | Acc 0.9885
Epoch 008/020 | Batch 00700/02417 | LR 0.000557847 | Loss 0.0362 | Acc 0.9884
Epoch 008/020 | Batch 00800/02417 | LR 0.000557847 | Loss 0.0363 | Acc 0.9884
Epoch 008/020 | Batch 00900/02417 | LR 0.000557847 | Loss 0.0365 | Acc 0.9883
Epoch 008/020 | Batch 01000/02417 | LR 0.000557847 | Loss 0.0366 | Acc 0.9883
Epoch 008/020 | Batch 01100/02417 | LR 0.000557847 | Loss 0.0367 | Acc 0.9883
Epoch 008/020 | Batch 01200/02417 | LR 0.000557847 | Loss 0.0367 | Acc 0.9883
Epoch 008/020 | Batch 01300/02417 | LR 0.000557847 | Loss 0.0367 | Acc 0.9882
Epoch 008/020 | Batch 01400/02417 | LR 0.000557847 | Loss 0.0369 | Acc 0.9882
Epoch 008/020 | Batch 01500/02417 | LR 0.000557847 | Loss 0.0370 | Acc 0.9882
Epoch 008/020 | Batch 01600/02417 | LR 0.000557847 | Loss 0.0370 | Acc 0.9882
Epoch 008/020 | Batch 01700/02417 | LR 0.000557847 | Loss 0.0370 | Acc 0.9881
Epoch 008/020 | Batch 01800/02417 | LR 0.000557847 | Loss 0.0371 | Acc 0.9881
Epoch 008/020 | Batch 01900/02417 | LR 0.000557847 | Loss 0.0371 | Acc 0.9881
Epoch 008/020 | Batch 02000/02417 | LR 0.000557847 | Loss 0.0372 | Acc 0.9881
Epoch 008/020 | Batch 02100/02417 | LR 0.000557847 | Loss 0.0373 | Acc 0.9881
Epoch 008/020 | Batch 02200/02417 | LR 0.000557847 | Loss 0.0373 | Acc 0.9881
Epoch 008/020 | Batch 02300/02417 | LR 0.000557847 | Loss 0.0374 | Acc 0.9880
Epoch 008/020 | Batch 02400/02417 | LR 0.000557847 | Loss 0.0374 | Acc 0.9880
Epoch 008/020 | Batch 02417/02417 | LR 0.000557847 | Loss 0.0374 | Acc 0.9880
Epoch 008 done in 16.2 min | Val Loss 0.0451 | Val Acc 0.9858 | Saved checkpoints_infinity/infinity_epoch_008.npz
Epoch 009/020 | Batch 00100/02417 | LR 0.000513219 | Loss 0.0321 | Acc 0.9897
Epoch 009/020 | Batch 00200/02417 | LR 0.000513219 | Loss 0.0324 | Acc 0.9896
Epoch 009/020 | Batch 00300/02417 | LR 0.000513219 | Loss 0.0325 | Acc 0.9896
Epoch 009/020 | Batch 00400/02417 | LR 0.000513219 | Loss 0.0328 | Acc 0.9895
Epoch 009/020 | Batch 00500/02417 | LR 0.000513219 | Loss 0.0330 | Acc 0.9895
Epoch 009/020 | Batch 00600/02417 | LR 0.000513219 | Loss 0.0332 | Acc 0.9894
Epoch 009/020 | Batch 00700/02417 | LR 0.000513219 | Loss 0.0334 | Acc 0.9894
Epoch 009/020 | Batch 00800/02417 | LR 0.000513219 | Loss 0.0335 | Acc 0.9893
Epoch 009/020 | Batch 00900/02417 | LR 0.000513219 | Loss 0.0337 | Acc 0.9893
Epoch 009/020 | Batch 01000/02417 | LR 0.000513219 | Loss 0.0338 | Acc 0.9892
Epoch 009/020 | Batch 01100/02417 | LR 0.000513219 | Loss 0.0339 | Acc 0.9892
Epoch 009/020 | Batch 01200/02417 | LR 0.000513219 | Loss 0.0340 | Acc 0.9891
Epoch 009/020 | Batch 01300/02417 | LR 0.000513219 | Loss 0.0341 | Acc 0.9891
Epoch 009/020 | Batch 01400/02417 | LR 0.000513219 | Loss 0.0342 | Acc 0.9891
Epoch 009/020 | Batch 01500/02417 | LR 0.000513219 | Loss 0.0343 | Acc 0.9891
Epoch 009/020 | Batch 01600/02417 | LR 0.000513219 | Loss 0.0344 | Acc 0.9890
Epoch 009/020 | Batch 01700/02417 | LR 0.000513219 | Loss 0.0345 | Acc 0.9890
Epoch 009/020 | Batch 01800/02417 | LR 0.000513219 | Loss 0.0345 | Acc 0.9890
Epoch 009/020 | Batch 01900/02417 | LR 0.000513219 | Loss 0.0345 | Acc 0.9890
Epoch 009/020 | Batch 02000/02417 | LR 0.000513219 | Loss 0.0346 | Acc 0.9890
Epoch 009/020 | Batch 02100/02417 | LR 0.000513219 | Loss 0.0347 | Acc 0.9889
Epoch 009/020 | Batch 02200/02417 | LR 0.000513219 | Loss 0.0348 | Acc 0.9889
Epoch 009/020 | Batch 02300/02417 | LR 0.000513219 | Loss 0.0349 | Acc 0.9889
Epoch 009/020 | Batch 02400/02417 | LR 0.000513219 | Loss 0.0349 | Acc 0.9889
Epoch 009/020 | Batch 02417/02417 | LR 0.000513219 | Loss 0.0349 | Acc 0.9889
Epoch 009 done in 21.2 min | Val Loss 0.0444 | Val Acc 0.9862 | Saved checkpoints_infinity/infinity_epoch_009.npz
Epoch 010/020 | Batch 00100/02417 | LR 0.000472161 | Loss 0.0304 | Acc 0.9902
Epoch 010/020 | Batch 00200/02417 | LR 0.000472161 | Loss 0.0308 | Acc 0.9901
Epoch 010/020 | Batch 00300/02417 | LR 0.000472161 | Loss 0.0310 | Acc 0.9901
Epoch 010/020 | Batch 00400/02417 | LR 0.000472161 | Loss 0.0309 | Acc 0.9901
Epoch 010/020 | Batch 00500/02417 | LR 0.000472161 | Loss 0.0310 | Acc 0.9901
Epoch 010/020 | Batch 00600/02417 | LR 0.000472161 | Loss 0.0311 | Acc 0.9901
Epoch 010/020 | Batch 00700/02417 | LR 0.000472161 | Loss 0.0312 | Acc 0.9901
Epoch 010/020 | Batch 00800/02417 | LR 0.000472161 | Loss 0.0313 | Acc 0.9900
Epoch 010/020 | Batch 00900/02417 | LR 0.000472161 | Loss 0.0314 | Acc 0.9900
Epoch 010/020 | Batch 01000/02417 | LR 0.000472161 | Loss 0.0315 | Acc 0.9900
Epoch 010/020 | Batch 01100/02417 | LR 0.000472161 | Loss 0.0316 | Acc 0.9899
Epoch 010/020 | Batch 01200/02417 | LR 0.000472161 | Loss 0.0318 | Acc 0.9899
Epoch 010/020 | Batch 01300/02417 | LR 0.000472161 | Loss 0.0319 | Acc 0.9898
Epoch 010/020 | Batch 01400/02417 | LR 0.000472161 | Loss 0.0320 | Acc 0.9898
Epoch 010/020 | Batch 01500/02417 | LR 0.000472161 | Loss 0.0321 | Acc 0.9898
Epoch 010/020 | Batch 01600/02417 | LR 0.000472161 | Loss 0.0323 | Acc 0.9897
Epoch 010/020 | Batch 01700/02417 | LR 0.000472161 | Loss 0.0323 | Acc 0.9897
Epoch 010/020 | Batch 01800/02417 | LR 0.000472161 | Loss 0.0323 | Acc 0.9897
Epoch 010/020 | Batch 01900/02417 | LR 0.000472161 | Loss 0.0324 | Acc 0.9897
Epoch 010/020 | Batch 02000/02417 | LR 0.000472161 | Loss 0.0324 | Acc 0.9896
Epoch 010/020 | Batch 02100/02417 | LR 0.000472161 | Loss 0.0325 | Acc 0.9896
Epoch 010/020 | Batch 02200/02417 | LR 0.000472161 | Loss 0.0326 | Acc 0.9896
Epoch 010/020 | Batch 02300/02417 | LR 0.000472161 | Loss 0.0327 | Acc 0.9896
Epoch 010/020 | Batch 02400/02417 | LR 0.000472161 | Loss 0.0327 | Acc 0.9895
Epoch 010/020 | Batch 02417/02417 | LR 0.000472161 | Loss 0.0327 | Acc 0.9895
Epoch 010 done in 25.0 min | Val Loss 0.0451 | Val Acc 0.9863 | Saved checkpoints_infinity/infinity_epoch_010.npz
Epoch 011/020 | Batch 00100/02417 | LR 0.000434388 | Loss 0.0291 | Acc 0.9908
Epoch 011/020 | Batch 00200/02417 | LR 0.000434388 | Loss 0.0286 | Acc 0.9909
Epoch 011/020 | Batch 00300/02417 | LR 0.000434388 | Loss 0.0286 | Acc 0.9909
Epoch 011/020 | Batch 00400/02417 | LR 0.000434388 | Loss 0.0289 | Acc 0.9907
Epoch 011/020 | Batch 00500/02417 | LR 0.000434388 | Loss 0.0290 | Acc 0.9907
Epoch 011/020 | Batch 00600/02417 | LR 0.000434388 | Loss 0.0292 | Acc 0.9906
Epoch 011/020 | Batch 00700/02417 | LR 0.000434388 | Loss 0.0294 | Acc 0.9906
Epoch 011/020 | Batch 00800/02417 | LR 0.000434388 | Loss 0.0295 | Acc 0.9906
Epoch 011/020 | Batch 00900/02417 | LR 0.000434388 | Loss 0.0296 | Acc 0.9905
Epoch 011/020 | Batch 01000/02417 | LR 0.000434388 | Loss 0.0297 | Acc 0.9905
Epoch 011/020 | Batch 01100/02417 | LR 0.000434388 | Loss 0.0297 | Acc 0.9905
Epoch 011/020 | Batch 01200/02417 | LR 0.000434388 | Loss 0.0298 | Acc 0.9905
Epoch 011/020 | Batch 01300/02417 | LR 0.000434388 | Loss 0.0299 | Acc 0.9904
Epoch 011/020 | Batch 01400/02417 | LR 0.000434388 | Loss 0.0300 | Acc 0.9904
Epoch 011/020 | Batch 01500/02417 | LR 0.000434388 | Loss 0.0301 | Acc 0.9904
Epoch 011/020 | Batch 01600/02417 | LR 0.000434388 | Loss 0.0302 | Acc 0.9903
Epoch 011/020 | Batch 01700/02417 | LR 0.000434388 | Loss 0.0302 | Acc 0.9903
Epoch 011/020 | Batch 01800/02417 | LR 0.000434388 | Loss 0.0303 | Acc 0.9903
